jornada,EquipoLocal,EquipoVisitante,golesLocal,golesVisitante
4,Cordoba,Real Madrid,2,2
4,Espanol,Deportivo,2,0
4,Sporting de Gijon,Barcelona,1,0
4,CD Malaga,Burgos,4,1
4,Real Sociedad,Sevilla,1,1
5,Atletico de Bilbao,Celta de Vigo,4,0
5,Barcelona,Atletico de Madrid,0,0
5,Burgos,Real Sociedad,3,1
5,Cordoba,CD Malaga,0,0
5,Deportivo,Las Palmas,1,0
5,Granada,Sporting de Gijon,1,0
5,Real Madrid,Sabadell,2,0
5,Sevilla,Espanol,1,0
5,Valencia,Betis,2,0
6,Las Palmas,Sevilla,1,1
6,Atletico de Madrid,Granada,1,0
6,Betis,Barcelona,0,0
6,Celta de Vigo,Valencia,1,3
6,Espanol,Burgos,1,1
6,Sporting de Gijon,Deportivo,2,0
6,CD Malaga,Real Madrid,1,1
6,Real Sociedad,Cordoba,2,1
6,Sabadell,Atletico de Bilbao,0,0
7,Barcelona,Celta de Vigo,1,0
7,Real Madrid,Atletico de Bilbao,1,0
7,Burgos,Las Palmas,1,0
7,Cordoba,Espanol,3,1
7,Deportivo,Atletico de Madrid,1,1
7,Granada,Betis,0,0
7,CD Malaga,Real Sociedad,1,1
7,Sevilla,Sporting de Gijon,3,1
7,Valencia,Sabadell,3,1
8,Atletico de Bilbao,Valencia,1,1
8,Atletico de Madrid,Sevilla,0,2
8,Betis,Deportivo,2,0
8,Celta de Vigo,Granada,0,0
8,Espanol,CD Malaga,4,1
8,Sporting de Gijon,Burgos,0,0
8,Las Palmas,Cordoba,3,0
8,Real Sociedad,Real Madrid,0,2
8,Sabadell,Barcelona,0,0
9,Barcelona,Atletico de Bilbao,0,1
9,Burgos,Atletico de Madrid,0,0
9,Cordoba,Sporting de Gijon,0,1
9,Deportivo,Celta de Vigo,0,1
9,Granada,Sabadell,3,1
9,CD Malaga,Las Palmas,0,0
9,Real Sociedad,Espanol,4,1
9,Real Madrid,Valencia,1,1
9,Sevilla,Betis,3,1
10,Las Palmas,Real Sociedad,0,0
10,Atletico de Bilbao,Granada,1,0
10,Atletico de Madrid,Cordoba,2,2
10,Betis,Burgos,2,0
10,Celta de Vigo,Sevilla,4,1
10,Espanol,Real Madrid,0,0
10,Sporting de Gijon,CD Malaga,1,2
10,Sabadell,Deportivo,4,1
10,Valencia,Barcelona,1,0
11,Burgos,Celta de Vigo,3,2
11,Cordoba,Betis,3,1
11,Deportivo,Atletico de Bilbao,1,0
11,Espanol,Las Palmas,4,0
11,Granada,Valencia,1,0
11,CD Malaga,Atletico de Madrid,0,0
