identificacion,Tiempo_real,Tiempo_asignado,permitir_Gastos,permitir_tiempo,Fecha_de_finalizacion_calculada,divisa,Titulo_de_proyecto,fecha_de_inicio,filial
52153,00:11.0,0:00:00,1,1,2013-02-28,1,678 OnPeople Template,2013-02-22,1
52154,03:29.6,0:00:00,1,1,2013-06-27,1,679 Integration 1-Fixed Bid SOW,2013-02-25,1
52156,02:55.8,0:00:00,1,1,2014-10-13,2,680 Valiant EOD General Jun2012 - May2013 (Replacement Project),2013-02-27,1
52460,08:08.2,0:00:00,1,1,2016-05-24,1,681 TJINC Internal Productive Time (Old),2013-03-14,1
52469,00:00.0,0:00:00,1,1,2014-07-04,1,682 NWC-Rolling EOD Service Project,2013-03-18,1
52475,25:09.3,0:00:00,1,1,2015-09-16,1,684 TJINC Pre-Sales Activities - Internal Project,2013-03-20,1
52478,00:00.0,0:00:00,1,1,2013-03-22,1,685 Provisional Services (AP Close-ERP Start),2013-03-22,1
52479,00:31.3,0:00:00,1,1,2013-06-25,1,686 Invoice Approval,2013-03-26,1
52480,20:15.5,0:00:00,1,1,2014-10-16,1,687 NGH ERP Project,2013-03-27,1
52481,03:01.3,0:00:00,1,1,2014-06-16,1,688 FDO 12 Month EoD (April 2013 - March 2014),2013-03-28,1
52685,00:14.7,0:00:00,1,1,2013-06-21,2,689 T&M Agreement with Edvotek,2013-04-05,1
54292,01:17.8,0:00:00,1,1,2013-08-09,2,690 Rewrite of quote script for speed and library flexibility,2013-04-18,1
54293,01:40.3,0:00:00,1,1,2013-09-17,2,691 ACV EOD General Apr2013 - Dec2013,2013-04-18,1
54296,00:00.0,0:00:00,1,1,2014-04-02,2,692 50 Hour NetSuite Service Agreement,2013-04-23,1
54300,00:00.0,0:00:00,1,1,2013-05-03,2,693 Warby Parker Trajectory Services April 2013,2013-04-29,1
54301,00:21.7,0:00:00,1,1,2013-10-21,1,694 Custom Channel Issue Review/Fix,2013-04-29,1
